46473	NULL	NULL	3	1/14/2008 18:35:20	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.0.1	2/1/2008 0:24:36	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.0.2	2/28/2008 19:51:55	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.0.3	5/22/2008 20:49:00	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.0.4	7/5/2008 18:56:49	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.0.5	8/14/2008 14:48:53	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.0.6	9/17/2008 18:17:53	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.0.7	10/1/2008 13:44:23	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.0.8	10/18/2008 21:01:42	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.0.9	10/30/2008 20:22:28	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.1.0	5/20/2009 21:16:37	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.2.0	7/14/2009 18:06:35	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.2.1	7/26/2009 16:53:26	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.2.2	8/5/2009 17:14:24	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.2.3	10/8/2009 19:03:44	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
46473	NULL	NULL	3.2.4	11/20/2009 13:57:19	Other	Other	https://raw.githubusercontent.com/java-native-access/jna/master/LICENSE	github	Apache License,   LGPL 2.1 	
