eid	groupid	artifactid	version	releasedate	license	licenseDetailed	license_url	source	updated license	notes
17557	com.h2database	h2	1.0.66	2/2/2008 8:12:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.0.66/h2-1.0.66.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
17557	com.h2database	h2	1.0.67	2/22/2008 8:49:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.0.67/h2-1.0.67.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
17557	com.h2database	h2	1.0.68	3/15/2008 9:25:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.0.68/h2-1.0.68.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
17557	com.h2database	h2	1.0.69	3/29/2008 10:51:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.0.69/h2-1.0.69.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
17557	com.h2database	h2	1.0.70	4/20/2008 17:51:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.0.70/h2-1.0.70.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
17557	com.h2database	h2	1.0.71	4/25/2008 15:21:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.0.71/h2-1.0.71.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
17557	com.h2database	h2	1.0.72	5/10/2008 15:15:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.0.72/h2-1.0.72.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
17557	com.h2database	h2	1.0.73	5/31/2008 7:40:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.0.73/h2-1.0.73.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
17557	com.h2database	h2	1.0.74	6/21/2008 17:10:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.0.74/h2-1.0.74.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
17557	com.h2database	h2	1.0.75	7/14/2008 17:55:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.0.75/h2-1.0.75.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
17557	com.h2database	h2	1.0.76	7/28/2008 2:49:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.0.76/h2-1.0.76.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
17557	com.h2database	h2	1.0.77	8/16/2008 8:19:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.0.77/h2-1.0.77.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
17557	com.h2database	h2	1.0.78	8/28/2008 22:36:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.0.78/h2-1.0.78.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
17557	com.h2database	h2	1.0.79	9/26/2008 11:47:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.0.79/h2-1.0.79.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
17557	com.h2database	h2	1.1.100	10/4/2008 12:20:00	Other	The H2 License Version 1.0	https://repo1.maven.org/maven2/com/h2database/h2/1.1.100/h2-1.1.100.pom	mvn	Eclipse Public License, GNU Affero General Public License, GNU General Public License, GNU Lesser General Public License, Mozilla Public License,   EPL 1.0 ,  Fair ,  MPL 2.0 , 	
